impression_date,ad_format,audience,cost,impressions,installs,purchasers,revenue_d7
2023-05-04,interstitial display,Tier 3,5643.443224,382864,3312,80,6.3515
2023-05-04,rewarded video,Tier 2,4817.27370799999,18497,102,31,102.487699999999
2023-05-04,rewarded video,Tier 3,3206.53903999999,121664,664,0,0.0
2023-05-04,interstitial display,Tier 2,5466.99245599999,35454,115,85,577.908804899999
2023-05-04,rewarded video,Tier 1,462.355175,2022,12,14,37.0019999999999
2023-05-05,rewarded video,Tier 2,4430.49646499999,16218,117,73,212.186799999999
2023-05-05,interstitial display,Tier 3,5466.399568,390872,3104,32,1.2966
2023-05-05,rewarded video,Tier 1,331.356455,981,6,7,28.6509999999999
2023-05-05,interstitial display,Tier 2,5713.850224,37162,99,35,96.2058999999999
2023-05-05,rewarded video,Tier 3,3207.43519999999,119568,904,0,0.0
2023-05-05,interstitial display,Tier 1,173.344687,1211,7,1,0.9751
